"timestamp (UTC)","energyConsumption (m3)"
"2022-02-06 00:30","0.024"
"2022-02-06 01:00","0.0"
"2022-02-06 01:30","0.01"
"2022-02-06 02:00","0.0"
"2022-02-06 02:30","0.0"
"2022-02-06 03:00","0.0"
"2022-02-06 03:30","0.0"
"2022-02-06 04:00","0.002"
"2022-02-06 04:30","0.0"
"2022-02-06 05:00","0.02"
"2022-02-06 05:30","0.201"
"2022-02-06 06:00","0.055"
"2022-02-06 06:30","0.21"
"2022-02-06 07:00","0.188"
"2022-02-06 07:30","0.314"
"2022-02-06 08:00","0.348"
"2022-02-06 08:30","0.194"
"2022-02-06 09:00","0.366"
"2022-02-06 09:30","0.164"
"2022-02-06 10:00","0.167"
"2022-02-06 10:30","0.156"
"2022-02-06 11:00","0.156"
"2022-02-06 11:30","0.163"
"2022-02-06 12:00","0.159"
"2022-02-06 12:30","0.13"
"2022-02-06 13:00","0.15"
"2022-02-06 13:30","0.147"
"2022-02-06 14:00","0.157"
"2022-02-06 14:30","0.137"
"2022-02-06 15:00","0.172"
"2022-02-06 15:30","0.146"
"2022-02-06 16:00","0.347"
"2022-02-06 16:30","0.127"
"2022-02-06 17:00","0.131"
"2022-02-06 17:30","0.341"
"2022-02-06 18:00","0.368"
"2022-02-06 18:30","0.553"
"2022-02-06 19:00","0.418"
"2022-02-06 19:30","0.328"
"2022-02-06 20:00","0.253"
"2022-02-06 20:30","0.174"
"2022-02-06 21:00","0.174"
"2022-02-06 21:30","0.197"
"2022-02-06 22:00","0.182"
"2022-02-06 22:30","0.173"
"2022-02-06 23:00","0.178"
"2022-02-06 23:30","0.036"
"2022-02-07 00:00","0.0"
"2022-02-07 00:30","0.0"
"2022-02-07 01:00","0.0"
"2022-02-07 01:30","0.0"
"2022-02-07 02:00","0.0"
"2022-02-07 02:30","0.0"
"2022-02-07 03:00","0.0"
"2022-02-07 03:30","0.0"
"2022-02-07 04:00","0.01"
"2022-02-07 04:30","0.036"
"2022-02-07 05:00","0.0"
"2022-02-07 05:30","0.206"
"2022-02-07 06:00","0.067"
"2022-02-07 06:30","0.122"
"2022-02-07 07:00","0.242"
"2022-02-07 07:30","0.403"
"2022-02-07 08:00","0.459"
"2022-02-07 08:30","0.391"
"2022-02-07 09:00","0.165"
"2022-02-07 09:30","0.267"
"2022-02-07 10:00","0.156"
"2022-02-07 10:30","0.166"
"2022-02-07 11:00","0.159"
"2022-02-07 11:30","0.16"
"2022-02-07 12:00","0.18"
"2022-02-07 12:30","0.175"
"2022-02-07 13:00","0.177"
"2022-02-07 13:30","0.331"
"2022-02-07 14:00","0.404"
"2022-02-07 14:30","0.172"
"2022-02-07 15:00","0.176"
"2022-02-07 15:30","0.161"
"2022-02-07 16:00","0.172"
"2022-02-07 16:30","0.158"
"2022-02-07 17:00","0.174"
"2022-02-07 17:30","0.158"
"2022-02-07 18:00","0.156"
"2022-02-07 18:30","0.16"
"2022-02-07 19:00","0.14"
"2022-02-07 19:30","0.121"
"2022-02-07 20:00","0.165"
"2022-02-07 20:30","0.127"
"2022-02-07 21:00","0.129"
"2022-02-07 21:30","0.106"
"2022-02-07 22:00","0.108"
"2022-02-07 22:30","0.099"
"2022-02-07 23:00","0.1"
"2022-02-07 23:30","0.003"
