"timestamp (UTC)","chargeType","standingCharge (pence per day)","touPrice (pence per kWh)","blockPrice1 (pence per kWh)","blockPrice2 (pence per kWh)","blockPrice3 (pence per kWh)","blockPrice4 (pence per kWh)","blockThreshold1 (kWh)","blockThreshold2 (kWh)","blockThreshold3 (kWh)"
"2022-02-06","standingCharge","26.112","","","","","","","",""
"2022-02-06 00:00","touPrice","","4.051","","","","","","",""
"2022-02-06 00:30","touPrice","","4.051","","","","","","",""
"2022-02-06 01:00","touPrice","","4.051","","","","","","",""
"2022-02-06 01:30","touPrice","","4.051","","","","","","",""
"2022-02-06 02:00","touPrice","","4.051","","","","","","",""
"2022-02-06 02:30","touPrice","","4.051","","","","","","",""
"2022-02-06 03:00","touPrice","","4.051","","","","","","",""
"2022-02-06 03:30","touPrice","","4.051","","","","","","",""
"2022-02-06 04:00","touPrice","","4.051","","","","","","",""
"2022-02-06 04:30","touPrice","","4.051","","","","","","",""
"2022-02-06 05:00","touPrice","","4.051","","","","","","",""
"2022-02-06 05:30","touPrice","","4.051","","","","","","",""
"2022-02-06 06:00","touPrice","","4.051","","","","","","",""
"2022-02-06 06:30","touPrice","","4.051","","","","","","",""
"2022-02-06 07:00","touPrice","","4.051","","","","","","",""
"2022-02-06 07:30","touPrice","","4.051","","","","","","",""
"2022-02-06 08:00","touPrice","","4.051","","","","","","",""
"2022-02-06 08:30","touPrice","","4.051","","","","","","",""
"2022-02-06 09:00","touPrice","","4.051","","","","","","",""
"2022-02-06 09:30","touPrice","","4.051","","","","","","",""
"2022-02-06 10:00","touPrice","","4.051","","","","","","",""
"2022-02-06 10:30","touPrice","","4.051","","","","","","",""
"2022-02-06 11:00","touPrice","","4.051","","","","","","",""
"2022-02-06 11:30","touPrice","","4.051","","","","","","",""
"2022-02-06 12:00","touPrice","","4.051","","","","","","",""
"2022-02-06 12:30","touPrice","","4.051","","","","","","",""
"2022-02-06 13:00","touPrice","","4.051","","","","","","",""
"2022-02-06 13:30","touPrice","","4.051","","","","","","",""
"2022-02-06 14:00","touPrice","","4.051","","","","","","",""
"2022-02-06 14:30","touPrice","","4.051","","","","","","",""
"2022-02-06 15:00","touPrice","","4.051","","","","","","",""
"2022-02-06 15:30","touPrice","","4.051","","","","","","",""
"2022-02-06 16:00","touPrice","","4.051","","","","","","",""
"2022-02-06 16:30","touPrice","","4.051","","","","","","",""
"2022-02-06 17:00","touPrice","","4.051","","","","","","",""
"2022-02-06 17:30","touPrice","","4.051","","","","","","",""
"2022-02-06 18:00","touPrice","","4.051","","","","","","",""
"2022-02-06 18:30","touPrice","","4.051","","","","","","",""
"2022-02-06 19:00","touPrice","","4.051","","","","","","",""
"2022-02-06 19:30","touPrice","","4.051","","","","","","",""
"2022-02-06 20:00","touPrice","","4.051","","","","","","",""
"2022-02-06 20:30","touPrice","","4.051","","","","","","",""
"2022-02-06 21:00","touPrice","","4.051","","","","","","",""
"2022-02-06 21:30","touPrice","","4.051","","","","","","",""
"2022-02-06 22:00","touPrice","","4.051","","","","","","",""
"2022-02-06 22:30","touPrice","","4.051","","","","","","",""
"2022-02-06 23:00","touPrice","","4.051","","","","","","",""
"2022-02-06 23:30","touPrice","","4.051","","","","","","",""
